#CRS: PROJCRS["NAD83 / New York West",BASEGEOGCRS["NAD83",DATUM["North American Datum 1983",ELLIPSOID["GRS 1980",6378137,298.257222101,LENGTHUNIT["metre",1]]],PRIMEM["Greenwich",0,ANGLEUNIT["degree",0.0174532925199433]],ID["EPSG",4269]],CONVERSION["SPCS83 New York West zone (meters)",METHOD["Transverse Mercator",ID["EPSG",9807]],PARAMETER["Latitude of natural origin",40,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8801]],PARAMETER["Longitude of natural origin",-78.5833333333333,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8802]],PARAMETER["Scale factor at natural origin",0.9999375,SCALEUNIT["unity",1],ID["EPSG",8805]],PARAMETER["False easting",350000,LENGTHUNIT["metre",1],ID["EPSG",8806]],PARAMETER["False northing",0,LENGTHUNIT["metre",1],ID["EPSG",8807]]],CS[Cartesian,2],AXIS["easting (X)",east,ORDER[1],LENGTHUNIT["metre",1]],AXIS["northing (Y)",north,ORDER[2],LENGTHUNIT["metre",1]],USAGE[SCOPE["Engineering survey, topographic mapping."],AREA["United States (USA) - New York - counties of Allegany; Cattaraugus; Chautauqua; Erie; Genesee; Livingston; Monroe; Niagara; Orleans; Wyoming."],BBOX[41.99,-79.77,43.64,-77.36]],ID["EPSG",32117]]
mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
310827.82300740492064506,342308.63114683958701789,1019771.91011227876879275,1123033.7078651967458427,1,16.31790589595448182,-3.64601253412001824,16.7202709376429155
310692.01580684829968959,342261.9591351809212938,1019335.95505611167754978,1122898.87640452641062438,1,0.62963623619316422,4.59599039813451782,4.63891900443111638
310759.12395368405850604,342253.05664773879107088,1019529.2134830723516643,1122885.39325845940038562,1,29.92731120399821521,23.23695242392500404,37.88931134043889415
310023.62422629498178139,342183.09797171404352412,1017102.24719100806396455,1122687.64044947642832994,1,14.47980171539832384,12.41965751632483261,19.07649209210268282
310393.86402794410241768,342225.96177547803381458,1018355.36159597022924572,1122783.04239405039697886,1,-9.01885786122011268,-10.91092404044275099,14.15584898680412529
310288.05278927757171914,342508.84818604832980782,1018001.24688276357483119,1123710.72319202846847475,1,-0.66757036040337425,1.30303185863891713,1.46408408594488937
310343.38521226169541478,342364.95874649402685463,1018155.86034909333102405,1123231.92019952367991209,1,25.61199420093885237,-11.76781101844960631,28.18608917737381603
310254.11631465679965913,342342.3599630820681341,1017896.50872815318871289,1123182.04488780442625284,1,-11.75213373538326778,6.43172927988223364,13.39700671284551881
310260.50130282959435135,342180.50026051874738187,1017901.49625932506751269,1122653.36658358038403094,1,1.35477448990457106,-1.25460032212595252,1.84646578272513207
310532.49381590390112251,342126.60531842027558014,1018824.18952613114379346,1122453.86533670336939394,1,-19.65832152605867122,-13.30108993202748024,23.73538705397037418
310613.10426384897436947,342341.4989844422088936,1019123.44139644666574895,1123147.13216960080899298,1,-47.22454025932347577,-7.10692362973759373,47.75631441163970692
